Object ID,Name,Centroid X µm,Centroid Y µm,Cell: CD15 (Opal 620) mean,Cell: H3Cit (Opal 690) mean,Cell: DAPI (DAPI) mean,Cell: CK (Alexa 488) mean,Cell: CD8 (Cy3) mean,Cell: MPO (Cy5) mean
f585cbf9-f289-4426-aad8-c7a7cdfc01ba,PathCellObject,919.03,195.78,0.0288,0.0139,0.2423,0,0.1364,0.0416
6892db7a-41e1-4f18-9f17-4087bff70273,PathCellObject,871.2,198.98,0.0184,0.0071,0.257,0.0081,0.1312,0.0195
1b5091d2-5123-43ea-a9cc-2d87a374fddb,PathCellObject,965.31,193.34,0.0716,0.0697,0.6802,0,0.1717,0.1695
2d702da3-571e-4c61-b7ae-ac209fe0db6b,PathCellObject,753.66,194.64,0.099,0.0386,0.1674,0,0.1808,0.1083
928df55d-0ad1-48ad-8520-e7968f3a3faa,PathCellObject,797.65,198.29,0.021,0.009,0.304,0.0081,0.1509,0.0265
9d01b403-e50c-4fd1-bc93-a12a596b36b5,PathCellObject,718.93,200.01,0.0227,0.0106,0.5114,0.0169,0.1534,0.0216
cb4b055c-94d8-4784-a5c3-7993b3bb722c,PathCellObject,941.23,197.38,0.0243,0.0138,0.5082,0,0.1166,0.0477
950b4c51-d04c-48b7-b217-e0d65849108a,PathCellObject,843.13,196.45,0.027,0.0048,0.0594,0.0024,0.1906,0.0116
c21c3466-364c-489f-87b3-81698b577ea3,PathCellObject,855.18,199.46,0.0192,0.0079,0.2817,0.0011,0.158,0.0132
345fcc5f-a3e6-4070-9bb6-2317870af127,PathCellObject,950.85,196.69,0.0261,0.015,0.2935,0,0.1302,0.0504
b15c682c-e983-4ceb-95ee-6ac36353180a,PathCellObject,995.56,198.84,0.0293,0.0189,0.4,0.0035,0.1778,0.0951
de1e3a13-ceb1-4453-92d9-7ce1833fdb8d,PathCellObject,1013.2,198.87,0.0371,0.0207,0.3698,0.0187,0.1889,0.0879
3f5b2209-85fd-4be2-b8ed-640a21c6ae6c,PathCellObject,966.69,198.98,0.05,0.0608,0.5781,0,0.135,0.1792
f77718f2-7120-414f-9f6e-d3c5c86336bb,PathCellObject,1022.9,197.03,0.1582,0.0944,0.278,0.0002,0.1403,0.1944
